Trace
Swept SA
A.14.10,N9010A
77902.21,-80.871988827041
78002.2,-79.760054961728
78102.19,-81.2153415042846
78202.18,-80.7247172936412
78302.17,-80.8001709795088
78402.16,-81.1607249715096
78502.15,-81.1833042553483
78602.14,-80.9994040541358
78702.13,-80.2560247191972
78802.12,-81.2162107109776
78902.11,-80.5647087281171
79002.1,-81.0320836035208
79102.09,-81.541464042388
79202.08,-80.3183078315385
79302.07,-80.6518304707863
79402.06,-81.0891063882149
79502.05,-80.7811855199403
79602.04,-81.5983106565193
79702.03,-80.8661740804335
79802.02,-81.1266894630741
79902.01,-81.8034873802028
80002,-80.8675889504729
80101.99,-81.9965713602187
80201.98,-81.1500054215522
80301.97,-81.0796542190782
80401.96,-80.7944612500155
80501.95,-81.0647523177677
80601.94,-81.0932644762665
80701.93,-81.5396052973558
80801.92,-80.7418959623444
80901.91,-81.0919672646652
81001.9,-80.7827655250384
81101.89,-81.6823569741587
81201.88,-81.4467796990446
81301.87,-81.0015513106511
81401.86,-81.0641581492796
81501.85,-81.409432408181
81601.84,-81.3218016517888
81701.83,-81.7644342395338
81801.82,-81.5049479571321
81901.81,-81.1671626222624
82001.8,-81.4536310459295
82101.79,-81.0175882906202
82201.78,-81.4612619356588
82301.77,-81.628461615098
82401.76,-80.7072365222026
82501.75,-81.5777895036813
82601.74,-81.1745410087373
82701.73,-80.8417061635909
82801.72,-81.7220799581788
82901.71,-81.4866930627178
83001.7,-81.4862122406138
83101.69,-81.4836318107684
83201.68,-81.4995047011085
83301.67,-81.8165827014611
83401.66,-81.7287241671481
83501.65,-81.4791938419111
83601.64,-80.9930838906412
83701.63,-82.2174170888141
83801.62,-81.1437473999501
83901.61,-81.4075549898375
84001.6,-81.2480927204746
84101.59,-81.6271412885716
84201.58,-81.9192779105133
84301.57,-81.1205715084268
84401.56,-81.6169507835281
84501.55,-81.7722671427488
84601.54,-81.2112953929793
84701.53,-81.7570726725034
84801.52,-81.318560499342
84901.51,-81.6269311905987
85001.5,-81.5046231210762
85101.49,-81.9190495830466
85201.48,-81.721418305868
85301.47,-81.1853334786845
85401.46,-82.0096698378087
85501.45,-82.2829799730165
85601.44,-82.1823342124272
85701.43,-81.6707336592225
85801.42,-81.4710979931944
85901.41,-81.4845144123937
86001.4,-81.9579773909188
86101.39,-81.4221587283905
86201.38,-81.3461751829914
86301.37,-81.7895065333643
86401.36,-81.4798185710609
86501.35,-81.7967932147146
86601.34,-82.3268361392276
86701.33,-81.6232527594086
86801.32,-81.6457998680874
86901.31,-81.6693860957789
87001.3,-81.7377509381485
87101.29,-81.7374551297251
87201.28,-81.6848290165618
87301.27,-81.8590749646192
87401.26,-81.6885461982331
87501.25,-82.0299030218534
87601.24,-82.1191071304375
87701.23,-82.2206759348464
87801.22,-82.1068738414415
87901.21,-81.4399580291335
88001.2,-81.4584852782002
88101.19,-82.0257078948017
88201.18,-81.8867402218421
88301.17,-81.6110342026192
88401.16,-81.8008189528746
88501.15,-81.4720375751984
88601.14,-81.8958878634478
88701.13,-82.662876328382
88801.12,-82.7813163549929
88901.11,-81.606067949981
89001.1,-81.8826126816325
89101.09,-81.7309047495607
89201.08,-82.1568994983184
89301.07,-82.5163637379078
89401.06,-82.3849036381603
89501.05,-81.5448136928084
89601.04,-81.3538957577535
89701.03,-82.0787709124564
89801.02,-82.9428866377724
89901.01,-82.4262778339276
90001,-82.0871117026474
90100.99,-82.4983952630967
90200.98,-82.7205769675783
90300.97,-83.1444633889716
90400.96,-82.1590666991384
90500.95,-82.5252102759445
90600.94,-82.3638239727391
90700.93,-82.8327694651802
90800.92,-82.3001510131509
90900.91,-81.7337101385917
91000.9,-82.3018283691832
91100.89,-82.2208599123764
91200.88,-82.344658299756
91300.87,-82.7567593922704
91400.86,-82.1550036066013
91500.85,-82.225885672869
91600.84,-82.4555127923115
91700.83,-81.7155160396545
91800.82,-82.3402227270317
91900.81,-82.7753205558737
92000.8,-82.2144605100751
92100.79,-82.2537512514692
92200.78,-82.3067340948393
92300.77,-81.9864871013517
92400.76,-82.4595161668264
92500.75,-82.1842438961138
92600.74,-82.3024264034601
92700.73,-82.4402630560278
92800.72,-81.9351844637667
92900.71,-82.2227869384616
93000.7,-82.4677671103167
93100.69,-82.1527266059574
93200.68,-81.8967601874027
93300.67,-83.2568565797345
93400.66,-82.2964459660643
93500.65,-82.9919595949906
93600.64,-82.3350976068917
93700.63,-83.1349931746175
93800.62,-82.6472162940028
93900.61,-82.8777660531842
94000.6,-82.5337121209691
94100.59,-82.2343934321065
94200.58,-81.9157460955739
94300.57,-82.4970676823445
94400.56,-82.3385477397786
94500.55,-82.5261174996054
94600.54,-83.4726048864012
94700.53,-82.4806479257657
94800.52,-81.9409299834431
94900.51,-82.6665484800445
95000.5,-82.7619388120605
95100.49,-82.2573603985035
95200.48,-82.8607645034465
95300.47,-82.772314355355
95400.46,-83.2084854629627
95500.45,-83.0206941705816
95600.44,-83.0261271360568
95700.43,-82.8463720386455
95800.42,-82.6621395417034
95900.41,-82.34822342733
96000.4,-82.8018748193078
96100.39,-82.3437574898964
96200.38,-83.5576078000376
96300.37,-82.9865833737467
96400.36,-83.1075281605507
96500.35,-83.4776000719991
96600.34,-82.9380048934907
96700.33,-83.0070971336349
96800.32,-82.7848051336163
96900.31,-82.9810976838764
97000.3,-83.0708954791573
97100.29,-82.6380155643455
97200.28,-83.2122531164486
