Trace
Swept SA
A.14.10,N9010A
4710529,-99.6399131338883
4720528,-98.3116423123824
4730527,-99.0568014399539
4740526,-99.190668560472
4750525,-98.8832271252327
4760524,-99.3110607297162
4770523,-98.6746273484611
4780522,-99.2075962313797
4790521,-98.6355935299372
4800520,-99.3294630034323
4810519,-98.7935198889473
4820518,-99.0214509251827
4830517,-98.899467092468
4840516,-99.577976692783
4850515,-98.2657498946935
4860514,-99.440778879796
4870513,-98.8076695311766
4880512,-98.902579275201
4890511,-98.3313220588816
4900510,-98.8372722203109
4910509,-98.3344699630903
4920508,-98.8961189869413
4930507,-99.3841391875246
4940506,-98.7456402371324
4950505,-100.005056737807
4960504,-99.1109553921902
4970503,-99.1367416353863
4980502,-99.1019091684317
4990501,-99.3597748505961
5000500,-99.1973313795768
5010499,-99.4716067130052
5020498,-98.7511698612619
5030497,-99.3113053106455
5040496,-98.8196703060224
5050495,-98.9828907823388
5060494,-99.2170146274121
5070493,-99.2371120626602
5080492,-99.2894655826825
5090491,-99.5610886980691
5100490,-99.416460198221
5110489,-99.2062233403856
5120488,-98.9566148569121
5130487,-99.5812640426556
5140486,-99.2102285603973
5150485,-99.1242989482549
5160484,-98.9309996818834
5170483,-98.931537794032
5180482,-99.4384041375833
5190481,-99.0239232340145
5200480,-99.4570663861709
5210479,-99.1439460451692
5220478,-98.7012550273548
5230477,-98.8732384479896
5240476,-100.124234063437
5250475,-99.1789207495591
5260474,-99.3988967445789
5270473,-98.8268179294227
5280472,-99.0906259169839
5290471,-99.5120376863953
5300470,-98.7591747758067
5310469,-99.3765504479973
5320468,-100.05398910815
5330467,-98.6282249522819
5340466,-100.182143432865
5350465,-99.3893257316605
5360464,-98.8178136003089
5370463,-99.1653234259771
5380462,-99.5030990559312
5390461,-99.8025426971357
5400460,-99.5269931590592
5410459,-98.6926095939421
5420458,-99.1706857931366
5430457,-100.053678259507
5440456,-98.9885300586033
5450455,-99.3996218559378
5460454,-99.2653849210505
5470453,-100.023016476764
5480452,-99.7469815358411
5490451,-99.226312545211
5500450,-99.7082603977571
5510449,-99.8656065741088
5520448,-99.1876674897795
5530447,-99.5232124559696
5540446,-100.128392406614
5550445,-100.142953840802
5560444,-99.3614725788548
5570443,-98.910841705287
5580442,-99.0669588398543
5590441,-99.2443674003414
5600440,-99.598327595311
5610439,-100.001216055928
5620438,-98.8362779299055
5630437,-99.2168011512772
5640436,-99.5722408585692
5650435,-100.008911857846
5660434,-99.9229591481867
5670433,-99.9166323541135
5680432,-99.798827900252
5690431,-98.9161917168183
5700430,-100.103485223971
5710429,-100.359385139336
5720428,-99.8526096498663
5730427,-99.3843309235644
5740426,-99.2703035777833
5750425,-99.4288426879321
5760424,-99.8101686989734
5770423,-99.7129045276529
5780422,-99.8909714110942
5790421,-99.4450489759246
5800420,-99.9103388691573
5810419,-99.8120175537019
5820418,-100.063936235648
5830417,-99.9470581931011
5840416,-99.9850320271271
5850415,-100.208915065046
5860414,-100.517571647608
5870413,-99.888916884273
5880412,-100.665814666405
5890411,-100.096887318244
5900410,-99.9960086758023
5910409,-100.158881268994
5920408,-99.9745370461163
5930407,-100.675672773526
5940406,-99.0018420639661
5950405,-98.5822632731143
5960404,-101.055576956482
5970403,-100.243823903557
5980402,-100.121716694927
5990401,-100.621622837196
6000400,-100.536816955218
6010399,-99.59085182437
6020398,-99.4502574933842
6030397,-100.902126588753
6040396,-99.8907577134595
6050395,-99.6634639697118
6060394,-99.9774375823867
6070393,-100.277461327386
